Index,AVelO,AVelU,AVelUI,6A Velocities O (m/s),6A Velocities U (m/s),6A Velocities UI (m/s),11A Velocities O (m/s),11A Velocities U (m/s),11A Velocities UI (m/s)
1,0.000111857,0.000285714,0.0000238663,4.44444E-05,0.00026178,0.000103093,6.0241E-05,0.000347222,0.000161812
2,0.000105263,0.000285714,0.0000271003,3.367E-05,0.000257732,0.000114155,5.84795E-05,0.000333333,0.000147929
3,0.000108225,0.000295858,0.0000208768,3.33333E-05,0.000234742,0.000120192,6.06061E-05,0.000297619,0.000153846
4,0.000110375,0.000295858,0.000025,2.68817E-05,0.000253807,0.000111857,7.0922E-05,0.000320513,0.000152439
5,0.000105932,0.000295858,0.0000258398,3.1348E-05,0.000257732,0.000111111,6.28931E-05,0.000314465,0.000158228
6,0.000108225,0.000280899,0.000025,2.93255E-05,0.000242718,0.000114943,5.91716E-05,,
7,0.000105263,0.000285714,0.0000228833,2.96736E-05,,,6.28931E-05,,
8,0.000108225,0.00027933,0.0000240964,2.88184E-05,,,6.41026E-05,,
9,0.000111111,0.00027933,0.0000251889,2.94118E-05,,,6.53595E-05,,
10,0.000110375,0.000295858,0.0000247525,,,,5.71429E-05,,
